,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
88,Gorillaz,The Now Now,Humility (feat. George Benson),3NeiYiBn3rQBgurfVk92Zm,0.632,0.807,0,-5.893,1,0.126,0.0211,0.125,0.784,160.174,197933,4,64.0,Blue
89,Childish Gambino,Summer Pack,Feels Like Summer,7p4vHnYXkxlzvfePJVpcTr,0.55,0.596,7,-8.214,1,0.134,0.00481,0.0805,0.253,165.736,297404,4,72.0,Blue
90,Tunng,Flatland,Flatland,4RcLBW0t3ydrndNyHmXHaj,0.75,0.394,4,-13.741,0,0.0457,0.0699,0.111,0.508,90.002,211200,4,3.0,Blue
91,The Soundcarriers,Entropicalia,Low Light,0D6sB55ghk8IOOtoCoG83Z,0.289,0.735,9,-6.303,1,0.0574,0.561,0.209,0.558,81.942,232904,4,0.0,Blue
92,Mac Miller,The Divine Feminine,My Favorite Part,66wkCYWlXzSTQAfnsPBptt,0.861,0.33,6,-7.194,1,0.0526,1.93e-06,0.14,0.718,95.016,216000,4,73.0,Blue
93,Mac Miller,Swimming,Come Back to Earth,01z2fBGB8Hl3Jd3zXe4IXR,0.272,0.238,2,-12.148,0,0.0349,0.00925,0.275,0.119,83.507,161840,4,73.0,Blue
94,Mac Miller,Swimming,Small Worlds,4gT3mNJA8lnlkYFqGZ8IA2,0.516,0.546,5,-9.105,1,0.249,4.5e-06,0.0995,0.515,78.267,271733,4,73.0,Blue
95,Mac Miller,Swimming,Perfecto,0Xcy81PsJCOO6mhLZaQyQ4,0.599,0.317,1,-11.212,1,0.174,0.0,0.111,0.203,148.09,215413,4,64.0,Blue
96,Mac Miller,Swimming,Self Care,5bJ1DrEM4hNCafcDd1oxHx,0.52,0.538,1,-8.109,1,0.206,0.00187,0.119,0.177,141.894,345133,4,79.0,Blue
97,Mac Miller,Swimming,Conversation Pt. 1,1oFEAWvPHP5TdSlmIs77sV,0.787,0.472,6,-10.032,0,0.113,5.22e-05,0.11,0.264,144.998,210253,4,62.0,Blue
98,Mac Miller,Swimming,So It Goes,0EA2RhRHL4KWeNa7JfD1Yw,0.576,0.556,0,-6.474,1,0.231,0.125,0.0943,0.294,148.173,312960,4,66.0,Blue
99,Travis Scott,ASTROWORLD,COFFEE BEAN,6vnfObZ4Ys70SBAtti1xZ9,0.81,0.582,5,-5.098,0,0.125,0.00681,0.207,0.503,95.004,209116,4,70.0,Blue
